UNITID,F1A13,F1A18
200305,4191985,31026431
200314,769531,5947167
200332,181335589,227903766
200341,2000636,15867678
200466,2251061,21977462
200572,5396977,10592865
200800,537327189,463598042
200828,,
201034,,
201098,,
201131,,
201159,,
201283,1071799,18383783
201441,202867522,388259563
201478,,
201496,,
201539,,
201672,8520723,43077634
201690,19023972,77255079
201803,,
201885,1411498214,1684249570
201928,61284485,62562971
201946,,
201955,,
201973,14195070,34912648
202134,274208820,337059117
202152,,
202222,42082780,283632615
202356,317379581,281398214
202648,9838478,16886609
202657,,
202949,,
202985,,
203030,,
203155,14941003,47762935
203331,2316370,14462784
203447,,
203456,,
203465,,
203474,,
203483,,
203492,,
203517,408766000,588301000
203526,,
203599,33943047,39111274
203614,,
203678,7887729,35985980
203748,25656253,139399461
203881,2893427,7140066
203942,,
204006,,
204015,,
204024,299868012,776158027
204158,,
204255,3537353,23756668
204422,4938328,20703774
204440,4921105,23837612
204459,,
204477,8380038,79100865
204662,451070,27709146
204671,1294922,11479351
204680,1465101,34187397
204699,1613090,39284801
204705,2282819,42268330
204796,2353001121,4565701687
204802,,
204820,,
204839,,
204848,,
204857,289006480,629630303
204866,,
204945,47413227,107453141
204981,,
205443,27196975,88543289
205470,32669869,281073164
205841,8701689,81447224
205966,7667145,22776622
206011,3399162,28769541
206084,479522045,565343927
206172,,
206181,,
206321,,
206446,3807359,18960531
206604,125015456,371506140
206613,,
206695,100859380,203356967
206905,,
206914,36219153,64035473
206923,9099882,19936647
206941,95108355,100015488
206996,9311030,17280343
207041,31942025,54002622
207050,15048264,11372811
207069,21515500,7550790
207209,34812503,87003252
207236,13720877,18021379
207263,72165999,159630696
207281,17725277,22379757
207290,9678421,27291771
207306,10274579,23602745
207315,37263113,57221260
207342,287879000,742050000
207351,15076994,14303437
207388,663483786,804236935
207397,12287338,37777583
207449,38903629,64344559
207500,976763000,738132000
207564,17470768,35046980
207661,35177494,32559111
207670,19407673,39972680
207722,10583034,14115564
207740,22951742,2721116
207847,39090860,23686586
207865,25177015,54301695
207935,55742248,104529578
208026,,
208035,5486738,17738721
208053,,
208275,17866266,25551222
208318,67906882,61562315
208390,149860857,157087757
208406,97694582,36871576
208415,34795428,21716798
208646,55237874,20382530
209038,114111332,113721925
209074,55239432,43005395
209250,85111000,35415000
209445,488987098,39297514
209490,1063141000,1695674000
209506,62228862,32306939
209542,544759794,502896344
209551,735207397,533659014
209746,460658649,254832190
209807,393221394,208588926
209940,46787135,24071612
210146,67437447,38999642
210155,45179788,16704640
210234,20644651,8315216
210270,15246106,20304928
210429,100355119,37662866
210605,71931546,85693572
211079,36966250,7026255
211158,162983351,56546651
211307,65205172,53702258
211343,34583876,23763189
211361,155921748,6164199
211608,50409182,-5309780
211644,84414385,15390905
211927,86294739,64979720
212115,129256952,35752232
212160,118871825,12609659
212878,114148171,114755035
213020,193435956,19608416
213349,247080146,97258458
213525,35389752,37653075
213613,71884767,45031953
213659,21378802,49721974
213783,66735699,10696961
214041,132615589,68159513
214111,82484414,76596228
214379,38053756,58946985
214661,38886122,40946302
215239,152722848,84377130
215585,28978405,42822082
215886,,
216010,122398213,67068716
216038,121040532,55938311
216296,3928760,3093906
216764,197245676,122901794
216825,28553379,23539589
217420,68108141,66639199
217475,20998993,52833542
217484,347628597,339169676
217615,3664034,30368748
217712,5454880,24559406
217819,236560472,226799252
217837,1252660,11108678
217864,67066377,110158876
217882,228940322,852177648
217989,1597205,9238038
218025,26213657,37850855
218061,18877152,74778772
218113,58996485,82543983
218140,7095371,69325798
218229,20545570,54825126
218335,318094651,518438681
218353,31563446,100980538
218487,2588051,26193441
218520,4733031,38310268
218645,45448787,48723191
218654,1593028,42571509
218663,469429193,893026940
218672,873970,15003250
218681,468010,5215095
218690,794308,11109390
218706,230297,4063266
218724,111073344,138823281
218733,95938750,64309712
218742,51570629,43663000
218830,14617104,39750716
218858,10515851,35583679
218885,12591147,52150196
218894,23757044,104914529
218955,1234387,4879217
218964,94804897,84120340
218991,5750709,44147736
219046,25178668,45566631
219082,14226010,15697604
219143,2507408,24411776
219189,1300109,14366831
219259,15473483,26924331
219277,7726018,52554184
219347,35619904,51387237
219356,109461023,229771950
219408,906317,11752612
219426,1958978,24654652
219471,120989512,173524476
219480,1246772,14896589
219596,,
219602,60750819,142802837
219824,11295019,48733248
219879,5036267,11806162
219888,6161017,30612336
219921,,
219994,,
